id,fail size
0,1
1,3
2,1
3,1
4,1
5,2
6,1
7,1
8,3
9,4
10,1
11,1
12,1
13,5
14,8
15,1
16,1
17,1
18,2
19,5
20,1
21,6
22,1
23,1
24,3
25,3
26,2
27,6
28,1
29,3
30,1
31,2
32,2
33,1
34,5
35,3
36,4
37,1
38,1
39,1
40,3
41,9
42,2
43,1
44,1
45,1
46,1
47,4
48,4
49,1
50,2
51,9
52,2
53,3
54,5
55,2
56,7
57,1
58,7
59,2
60,2
61,3
62,2
63,1
64,1
65,1
66,1
67,1
68,4
69,4
70,2
71,1
72,1
73,4
74,1
75,1
76,5
77,1
78,5
79,5
80,6
81,2
82,2
83,1
84,1
85,2
86,5
87,2
88,11
89,2
90,1
91,1
92,1
93,1
94,4
95,1
96,2
97,3
98,10
99,3
100,3
